Best for data1.txt H=4: error=9, iterations=17192
Iteration 1000: loss 0.42022 errors 11
Iteration 2000: loss 0.39253 errors 10
Iteration 3000: loss 0.37762 errors 8
Iteration 4000: loss 0.36691 errors 7
Iteration 5000: loss 0.34707 errors 7
Iteration 6000: loss 0.33628 errors 6
Iteration 7000: loss 0.32678 errors 7
Iteration 8000: loss 0.31813 errors 7
Iteration 9000: loss 0.31018 errors 8
Iteration 10000: loss 0.30282 errors 8
Iteration 11000: loss 0.28477 errors 5
Iteration 12000: loss 0.27558 errors 5
Iteration 13000: loss 0.26010 errors 4
Iteration 14000: loss 0.25082 errors 4
Iteration 15000: loss 0.23895 errors 2
Iteration 16000: loss 0.22920 errors 2
Iteration 17000: loss 0.22048 errors 2
Iteration 18000: loss 0.21241 errors 2
Iteration 19000: loss 0.20492 errors 2
Iteration 20000: loss 0.19798 errors 2
Iteration 1000: loss 0.39475 errors 10
Iteration 2000: loss 0.37398 errors 10
Iteration 3000: loss 0.35084 errors 8
Iteration 4000: loss 0.32660 errors 7
Iteration 5000: loss 0.30613 errors 4
Iteration 6000: loss 0.28696 errors 4
Iteration 7000: loss 0.26871 errors 4
Iteration 8000: loss 0.25015 errors 4
Iteration 9000: loss 0.23361 errors 4
Iteration 10000: loss 0.21822 errors 4
Iteration 11000: loss 0.20405 errors 4
Iteration 12000: loss 0.19115 errors 4
Iteration 13000: loss 0.17793 errors 2
Iteration 14000: loss 0.16598 errors 1
Iteration 15000: loss 0.15544 errors 0
Iteration 16000: loss 0.14584 errors 0
Iteration 17000: loss 0.13710 errors 0
Iteration 18000: loss 0.12915 errors 0
Iteration 19000: loss 0.12191 errors 0
Iteration 20000: loss 0.11530 errors 0
Iteration 1000: loss 0.40223 errors 10
Iteration 2000: loss 0.37442 errors 10
Iteration 3000: loss 0.35815 errors 11
Iteration 4000: loss 0.34454 errors 10
Iteration 5000: loss 0.33273 errors 8
Iteration 6000: loss 0.32194 errors 8
Iteration 7000: loss 0.30751 errors 8
Iteration 8000: loss 0.29356 errors 5
Iteration 9000: loss 0.28016 errors 5
Iteration 10000: loss 0.26726 errors 5
Iteration 11000: loss 0.25454 errors 4
Iteration 12000: loss 0.24155 errors 4
Iteration 13000: loss 0.22663 errors 3
Iteration 14000: loss 0.21336 errors 3
Iteration 15000: loss 0.20132 errors 2
Iteration 16000: loss 0.19036 errors 2
Iteration 17000: loss 0.17987 errors 2
Iteration 18000: loss 0.17007 errors 1
Iteration 19000: loss 0.16119 errors 1
Iteration 20000: loss 0.15311 errors 1
Iteration 1000: loss 0.61862 errors 16
Iteration 2000: loss 0.54219 errors 16
Iteration 3000: loss 0.47279 errors 15
Iteration 4000: loss 0.44090 errors 14
Iteration 5000: loss 0.42662 errors 11
Iteration 6000: loss 0.41843 errors 12
Iteration 7000: loss 0.41282 errors 12
Iteration 8000: loss 0.40815 errors 12
Iteration 9000: loss 0.40373 errors 12
Iteration 10000: loss 0.39680 errors 12
Iteration 11000: loss 0.39447 errors 12
Iteration 12000: loss 0.39266 errors 12
Iteration 13000: loss 0.39123 errors 12
Iteration 14000: loss 0.39006 errors 12
Iteration 15000: loss 0.38908 errors 12
Iteration 16000: loss 0.38825 errors 12
Iteration 17000: loss 0.38753 errors 11
Iteration 18000: loss 0.38648 errors 11
Iteration 19000: loss 0.38543 errors 11
Iteration 20000: loss 0.38443 errors 11
Iteration 1000: loss 0.42120 errors 11
Iteration 2000: loss 0.39814 errors 10
Iteration 3000: loss 0.38846 errors 10
Iteration 4000: loss 0.38065 errors 10
Iteration 5000: loss 0.37235 errors 10
Iteration 6000: loss 0.36407 errors 10
Iteration 7000: loss 0.35596 errors 10
Iteration 8000: loss 0.34786 errors 11
Iteration 9000: loss 0.33972 errors 10
Iteration 10000: loss 0.33150 errors 11
Iteration 11000: loss 0.32321 errors 10
Iteration 12000: loss 0.31486 errors 10
Iteration 13000: loss 0.30538 errors 8
Iteration 14000: loss 0.29445 errors 8
Iteration 15000: loss 0.28283 errors 6
Iteration 16000: loss 0.27133 errors 4
Iteration 17000: loss 0.25865 errors 3
Iteration 18000: loss 0.24518 errors 2
Iteration 19000: loss 0.23247 errors 2
Iteration 20000: loss 0.21996 errors 2
Best for data1.txt H=8: error=0, iterations=14368
Iteration 1000: loss 0.27657 errors 3
Iteration 2000: loss 0.22025 errors 0
Iteration 3000: loss 0.18294 errors 0
Iteration 4000: loss 0.15586 errors 0
Iteration 5000: loss 0.13554 errors 0
Iteration 6000: loss 0.11992 errors 0
Iteration 7000: loss 0.10762 errors 0
Iteration 8000: loss 0.09772 errors 0
Iteration 9000: loss 0.08958 errors 0
Iteration 10000: loss 0.08279 errors 0
Iteration 11000: loss 0.07703 errors 0
Iteration 12000: loss 0.07209 errors 0
Iteration 13000: loss 0.06780 errors 0
Iteration 14000: loss 0.06405 errors 0
Iteration 15000: loss 0.06073 errors 0
Iteration 16000: loss 0.05778 errors 0
Iteration 17000: loss 0.05513 errors 0
Iteration 18000: loss 0.05275 errors 0
Iteration 19000: loss 0.05059 errors 0
Iteration 20000: loss 0.04862 errors 0
Iteration 1000: loss 0.09518 errors 0
Iteration 2000: loss 0.06817 errors 0
Iteration 3000: loss 0.05483 errors 0
Iteration 4000: loss 0.04648 errors 0
Iteration 5000: loss 0.04065 errors 0
Iteration 6000: loss 0.03629 errors 0
Iteration 7000: loss 0.03289 errors 0
Iteration 8000: loss 0.03014 errors 0
Iteration 9000: loss 0.02788 errors 0
Iteration 10000: loss 0.02597 errors 0
Iteration 11000: loss 0.02434 errors 0
Iteration 12000: loss 0.02293 errors 0
Iteration 13000: loss 0.02169 errors 0
Iteration 14000: loss 0.02060 errors 0
Iteration 15000: loss 0.01962 errors 0
Iteration 16000: loss 0.01875 errors 0
Iteration 17000: loss 0.01796 errors 0
Iteration 18000: loss 0.01724 errors 0
Iteration 19000: loss 0.01659 errors 0
Iteration 20000: loss 0.01599 errors 0
Iteration 1000: loss 0.17520 errors 2
Iteration 2000: loss 0.10220 errors 0
Iteration 3000: loss 0.07365 errors 0
Iteration 4000: loss 0.05867 errors 0
Iteration 5000: loss 0.04931 errors 0
Iteration 6000: loss 0.04278 errors 0
Iteration 7000: loss 0.03794 errors 0
Iteration 8000: loss 0.03420 errors 0
Iteration 9000: loss 0.03122 errors 0
Iteration 10000: loss 0.02879 errors 0
Iteration 11000: loss 0.02675 errors 0
Iteration 12000: loss 0.02502 errors 0
Iteration 13000: loss 0.02354 errors 0
Iteration 14000: loss 0.02225 errors 0
Iteration 15000: loss 0.02111 errors 0
Iteration 16000: loss 0.02011 errors 0
Iteration 17000: loss 0.01921 errors 0
Iteration 18000: loss 0.01840 errors 0
Iteration 19000: loss 0.01767 errors 0
Iteration 20000: loss 0.01700 errors 0
Iteration 1000: loss 0.69373 errors 10
Iteration 2000: loss 0.69351 errors 10
Iteration 3000: loss 0.69340 errors 10
Iteration 4000: loss 0.69334 errors 10
Iteration 1000: loss 0.69343 errors 26
Iteration 2000: loss 0.69329 errors 26
Iteration 3000: loss 0.69324 errors 26
Best for data2.txt H=4: error=0, iterations=1980
Iteration 1000: loss 0.21965 errors 0
Iteration 2000: loss 0.16294 errors 0
Iteration 3000: loss 0.13124 errors 0
Iteration 4000: loss 0.11070 errors 0
Iteration 5000: loss 0.09631 errors 0
Iteration 6000: loss 0.08566 errors 0
Iteration 7000: loss 0.07744 errors 0
Iteration 8000: loss 0.07089 errors 0
Iteration 9000: loss 0.06552 errors 0
Iteration 10000: loss 0.06105 errors 0
